,route,route_congestion
0,진월07,0.9999999999999998
1,수완03,0.9168939459741161
2,문흥18,0.7996699383305828
3,첨단09,0.7612090680100755
4,봉선37,0.7157126726309389
5,봉선27,0.6977156258142968
6,일곡28,0.6750977156258142
7,운림54,0.6516633370971944
8,송정98,0.5740467297837226
9,송정29,0.5697906714149221
10,매월26,0.5416311995135933
11,진월17,0.5363328411361069
12,지원45,0.5257187527143229
13,금호36,0.5070789542256579
14,운림51,0.5000781725006513
15,수완12,0.4640145922001216
16,첨단30,0.4585077738208981
17,매월06,0.441396682011639
18,마을700,0.4058716233822635
19,첨단95,0.39141839659515326
20,금호46,0.38962911491357594
21,좌석02,0.3818639798488665
22,마을720,0.37283071310692256
23,송암72,0.36678537305654474
24,첨단20,0.3584469729870581
25,일곡38,0.3533223312776861
26,문흥39,0.3474333362286111
27,일곡10,0.3431772778598106
28,매월16,0.3395292278294102
29,금남57,0.33819160948493004
30,순환01(시청행),0.31611222096760183
31,송암73,0.30204117085034304
32,순환01(운천저수지),0.3010336141752801
33,첨단23,0.29491878745765654
34,송정19,0.28614609571788413
35,송암68,0.2816468340137236
36,송암47,0.2815252323460436
37,지원25,0.26879180057326496
38,송암74,0.2666898288890819
39,운림50,0.24940502041170848
40,송정33,0.24120559367671326
41,금남59,0.233892121949101
42,지원15,0.21846608182055066
43,첨단22,0.21827499348562493
44,금남55,0.2005732650047772
45,마을777,0.18877790323981586
46,진월75,0.18714496655954138
47,마을760,0.179987839833232
48,운림35,0.17776426648136887
49,선운14,0.1602015113350126
50,금남58,0.15957613132980109
51,진곡196,0.1582732563189438
52,228(화순전대병원),0.15472943628941196
53,마을788,0.15261009293841743
54,수완49,0.14864935290541126
55,용봉83,0.1303743594197863
56,송암31,0.12175801268131677
57,선운101,0.12076782767306522
58,518,0.11988187266568226
59,상무64,0.11489620429080169
60,첨단40,0.09953965082949709
61,문흥53,0.09644749413706244
62,양산60,0.09531833579431946
63,마을715(대촌),0.09041952575349604
64,지원56,0.08426995570224963
65,매월61(칠석),0.08416572570138105
66,문흥80,0.08218535568487796
67,419,0.07726917397724312
68,진월79,0.07657430730478589
69,매월61(세하),0.072544080604534
70,1187,0.07091114392425953
71,용전85,0.06741943889516198
72,진월77,0.06000173716668114
73,대촌70,0.04834534873621124
74,지원152(능주역),0.04692087205767393
75,상무63,0.045461652045513765
76,지원152(도웅리),0.04500998870841657
77,두암81(각화초교),0.04428037870233649
78,석곡87,0.0402501520020846
79,마을799,0.0389993919916616
80,용전86,0.038599843654998696
81,두암81(무등파크),0.03833926865282724
82,용전84,0.03813080865109007
83,마을777(우치공원),0.032658733605489446
84,용전184,0.031025796925214972
85,상무62,0.027759923564666028
86,봉선76,0.027725180231043166
87,대촌170,0.0272908885607574
88,첨단94,0.02440719187005993
89,상무62(상무역행),0.022965343524711194
90,진월177,0.022183618518196817
91,첨단92,0.021679840180665332
92,임곡89,0.0210370885086424
93,임곡90,0.020237991835316597
94,유덕65,0.019977416833145138
95,충효187,0.013966820116390166
96,대촌69,0.013602015113350125
97,지원52,0.013289325110744375
98,송정197,0.012368626769738555
99,진월78,0.011395813428298443
100,송정296,0.010301398419178319
101,두암181,0.010145053417875444
102,마을701,0.00941544341179536
103,마을763,0.009224355076869624
104,첨단193,0.007660905063840875
105,첨단192,0.005367845044732042
106,송정96,0.004846695040389125
107,대촌270,0.0048119517067662645
108,송정100,0.004759836706331973
109,송정97,0.003925996699383306
110,임곡290,0.002379918353165986
111,임곡91,0.0023625466863545553
112,대촌71,0.0018761400156345
113,송정93,0.0015981933466516112
114,송정99,0.0015113350125944584
115,충효188,0.0
