idx,dong_name,dist,population
0,충장동, 동구 ,4704
1,동명동, 동구 ,4059
2,계림1동, 동구 ,11094
3,계림2동, 동구 ,9842
4,산수1동, 동구 ,8661
5,산수2동, 동구 ,10556
6,지산1동, 동구 ,4581
7,지산2동, 동구 ,4814
8,서남동, 동구 ,3392
9,학동, 동구 ,7762
10,학운동, 동구 ,11536
11,지원1동, 동구 ,7870
12,지원2동, 동구 ,16206
13,양동, 서구 ,3713
14,양3동, 서구 ,4609
15,농성1동, 서구 ,11087
16,농성2동, 서구 ,4926
17,광천동, 서구 ,8134
18,유덕동, 서구 ,11102
19,치평동, 서구 ,30457
20,상무1동, 서구 ,25015
21,상무2동, 서구 ,24030
22,화정1동, 서구 ,15619
23,화정2동, 서구 ,20643
24,화정3동, 서구 ,10104
25,화정4동, 서구 ,15477
26,서창동, 서구 ,5860
27,금호1동, 서구 ,20103
28,금호2동, 서구 ,28619
29,풍암동, 서구 ,37007
30,동천동, 서구 ,16332
31,양림동, 남구 ,7043
32,방림1동, 남구 ,6688
33,방림2동, 남구 ,8943
34,봉선1동, 남구 ,13577
35,봉선2동, 남구 ,28872
36,사직동, 남구 ,5269
37,월산동, 남구 ,8879
38,월산4동, 남구 ,8568
39,월산5동, 남구 ,6450
40,백운1동, 남구 ,12236
41,백운2동, 남구 ,6403
42,주월1동, 남구 ,22039
43,주월2동, 남구 ,8060
44,진월동, 남구 ,29708
45,효덕동, 남구 ,16226
46,송암동, 남구 ,21707
47,대촌동, 남구 ,6364
48,중흥1동, 북구 ,4836
49,중흥2동, 북구 ,6942
50,중흥3동, 북구 ,4891
51,중앙동, 북구 ,3106
52,임동, 북구 ,9202
53,신안동, 북구 ,12496
54,용봉동, 북구 ,40166
55,운암1동, 북구 ,19411
56,운암2동, 북구 ,12111
57,운암3동, 북구 ,12704
58,동림동, 북구 ,23470
59,우산동, 북구 ,10363
60,풍향동, 북구 ,5764
61,문화동, 북구 ,21005
62,문흥1동, 북구 ,16030
63,문흥2동, 북구 ,15834
64,두암1동, 북구 ,7830
65,두암2동, 북구 ,16113
66,두암3동, 북구 ,13452
67,삼각동, 북구 ,14196
68,일곡동, 북구 ,30062
69,매곡동, 북구 ,13877
70,오치1동, 북구 ,11157
71,오치2동, 북구 ,12596
72,석곡동, 북구 ,2542
73,건국동, 북구 ,22977
74,양산동, 북구 ,38383
75,신용동, 북구 ,30071
76,송정1동, 광산구 ,11122
77,송정2동, 광산구 ,6712
78,도산동, 광산구 ,15469
79,신흥동, 광산구 ,4650
80,어룡동, 광산구 ,34419
81,우산동, 광산구 ,29523
82,월곡1동, 광산구 ,12109
83,월곡2동, 광산구 ,18121
84,비아동, 광산구 ,7934
85,첨단1동, 광산구 ,27541
86,첨단2동, 광산구 ,44132
87,신가동, 광산구 ,18603
88,운남동, 광산구 ,31080
89,수완동, 광산구 ,77884
90,하남동, 광산구 ,27956
91,임곡동, 광산구 ,2212
92,동곡동, 광산구 ,1915
93,평동, 광산구 ,5218
94,삼도동, 광산구 ,2230
95,본량동, 광산구 ,2024
96,신창동, 광산구 ,35158
