,route,18~19_ride_route_mean,18~19_ride_route_sum
0,1187,2.1591750396615548,4083
1,228(화순전대병원),3.4420401854714067,8908
2,419,2.7702366127023663,4449
3,518,2.807973962571196,6902
4,금남55,3.8222442899702087,11547
5,금남57,6.453099105071263,19469
6,금남58,5.622399020807833,9187
7,금남59,4.295055821371611,13465
8,금호36,7.584047804624578,29191
9,금호46,6.641989931892212,22430
10,대촌170,1.7408637873754154,1572
11,대촌270,1.3113207547169812,278
12,대촌69,1.693304535637149,784
13,대촌70,2.2634146341463413,2784
14,대촌71,1.1122448979591837,109
15,두암181,1.5558510638297873,585
16,두암81(각화초교),2.537313432835821,2550
17,두암81(무등파크),2.1068702290076335,2208
18,마을700,5.088196864111498,23365
19,마을701,1.6605504587155964,543
20,마을715(대촌),3.1997541487400123,5206
21,마을720,6.573660030627871,21463
22,마을760,5.576964477933261,10362
23,마을763,1.4777777777777779,532
24,마을777,7.358158429248476,10868
25,마을777(우치공원),4.436320754716981,1881
26,마을788,3.482362267142291,8786
27,마을799,2.141086749285033,2246
28,매월06,10.64962279966471,25410
29,매월16,5.325885558583106,19546
30,매월26,8.770745428973276,31180
31,매월61(세하),2.874741913282863,4177
32,매월61(칠석),2.6817930271167683,4846
33,문흥18,10.813718581160442,46034
34,문흥39,5.31658692185008,20001
35,문흥53,5.476331360946745,5553
36,문흥80,3.0391779062299293,4732
37,봉선27,7.81420233463035,40165
38,봉선37,7.544588903131294,41201
39,봉선76,1.6971307120085015,1597
40,상무62,1.8811764705882352,1599
41,상무62(상무역행),1.8981348637015782,1323
42,상무63,2.507662835249042,2618
43,상무64,3.9516129032258065,6615
44,석곡87,2.382322713257965,2318
45,선운101,2.8344883815735833,6953
46,선운14,7.155159038013965,9223
47,송암31,4.038018433179723,7010
48,송암47,4.503195332036677,16207
49,송암68,5.550838753851421,16214
50,송암72,5.118787878787879,21115
51,송암73,5.267494698576189,17388
52,송암74,4.788833437305053,15353
53,송정100,1.3221153846153846,275
54,송정19,4.3168238993710695,16473
55,송정197,1.9427792915531334,713
56,송정29,7.8097619047619045,32801
57,송정296,1.584,594
58,송정33,4.143837660399881,13886
59,송정93,1.24,93
60,송정96,1.3270142180094786,280
61,송정97,1.3431952662721893,227
62,송정98,7.086853956680248,33046
63,송정99,1.2941176470588236,88
64,수완03,17.87402641381646,52782
65,수완12,6.638170974155069,26712
66,수완49,3.095117540687161,8558
67,순환01(시청행),9.721153846153847,18198
68,순환01(운천저수지),8.979274611398964,17330
69,양산60,4.2021439509954055,5488
70,용봉83,3.792824658918646,7506
71,용전184,1.8930084745762712,1787
72,용전84,2.0600375234521575,2196
73,용전85,2.9930609097918275,3882
74,용전86,2.1666666666666665,2223
75,운림35,4.035488958990536,10234
76,운림50,4.689092096668844,14358
77,운림51,7.47158058655593,28788
78,운림54,14.373180076628353,37514
79,유덕65,1.8183254344391786,1151
80,일곡10,5.503064066852367,19756
81,일곡28,8.408264820424058,38863
82,일곡38,4.832501781895937,20340
83,임곡290,1.2897196261682242,138
84,임곡89,1.5380710659898478,1212
85,임곡90,1.712187958883994,1166
86,임곡91,1.3300970873786409,137
87,좌석02,8.550369506028783,21983
88,지원15,4.27062818336163,12577
89,지원152(능주역),2.6284046692607004,2702
90,지원152(도웅리),2.0970873786407767,2592
91,지원25,5.2347767253044655,15474
92,지원45,6.691134202962635,30264
93,지원52,1.5537525354969575,766
94,지원56,2.427213606803402,4852
95,진곡196,3.5944773175542406,9112
96,진월07,20.457000710732054,57566
97,진월17,8.355886332882273,30875
98,진월177,1.9103139013452914,1278
99,진월75,3.459858702633269,10774
100,진월77,2.188093730208993,3455
101,진월78,1.583132530120482,657
102,진월79,3.3325774754346185,4409
103,첨단09,14.606666666666667,43820
104,첨단192,1.1355311355311355,310
105,첨단193,1.403174603174603,442
106,첨단20,4.614266547406082,20635
107,첨단22,5.124796084828711,12566
108,첨단23,6.777644710578842,16978
109,첨단30,6.384857281083696,26395
110,첨단40,2.4366496598639458,5731
111,첨단92,2.061056105610561,1249
112,첨단94,1.581552305961755,1406
113,첨단95,6.350901916572717,22533
114,충효187,1.3975694444444444,805
115,충효188,1.0,1
